# This training set has been optimized for prediction of
# conservation of active-site waters using the following
# weights:
# 0.000000 0.0000 37.709679 0.0000 57.534715 92.672750 0.0000 0.0000
#
# Values for AHP, HBDP, ABVAL, and NBVAL are missing because they are
# not used in the weight set.
#
# ADN	AHP	BVAL	HBDP	HBDW	MOB	ABVAL	NBVAL	Cons
Features: 8
4.0000	0.0000	2.6823	0.0000	2.2857	2.6124	0.0000	0.0000	2
8.0000	0.0000	3.6769	0.0000	2.2857	3.1420	0.0000	0.0000	2
9.0000	0.0000	2.1181	0.0000	1.0000	1.7900	0.0000	0.0000	2
5.0000	0.0000	4.1812	0.0000	1.0000	4.2325	0.0000	0.0000	2
2.0000	0.0000	5.5715	0.0000	1.0000	5.6383	0.0000	0.0000	2
2.0000	0.0000	5.8185	0.0000	3.5714	4.8394	0.0000	0.0000	2
7.0000	0.0000	3.3250	0.0000	2.2857	3.8096	0.0000	0.0000	2
2.0000	0.0000	3.7600	0.0000	2.2857	4.3251	0.0000	0.0000	2
3.0000	0.0000	3.6758	0.0000	3.5714	3.2270	0.0000	0.0000	2
3.0000	0.0000	5.7262	0.0000	1.0000	4.0469	0.0000	0.0000	2
2.0000	0.0000	3.3700	0.0000	2.2857	4.4726	0.0000	0.0000	2
5.0000	0.0000	4.0312	0.0000	1.0000	2.9306	0.0000	0.0000	2
7.0000	0.0000	2.0985	0.0000	2.2857	2.6682	0.0000	0.0000	2
4.0000	0.0000	1.9023	0.0000	3.5714	1.8660	0.0000	0.0000	2
3.0000	0.0000	2.8715	0.0000	1.0000	2.8053	0.0000	0.0000	2
4.0000	0.0000	4.3785	0.0000	2.2857	7.1439	0.0000	0.0000	2
3.0000	0.0000	3.8108	0.0000	2.2857	4.8527	0.0000	0.0000	2
4.0000	0.0000	5.1412	0.0000	3.5714	3.6616	0.0000	0.0000	2
4.0000	0.0000	6.0608	0.0000	2.2857	4.0659	0.0000	0.0000	2
3.0000	0.0000	2.8831	0.0000	3.5714	2.9136	0.0000	0.0000	2
1.0000	0.0000	4.7985	0.0000	3.5714	4.6987	0.0000	0.0000	2
6.0000	0.0000	3.9677	0.0000	2.2857	3.3535	0.0000	0.0000	2
7.0000	0.0000	3.8927	0.0000	2.2857	3.5714	0.0000	0.0000	2
4.0000	0.0000	3.6712	0.0000	3.5714	3.5209	0.0000	0.0000	2
7.0000	0.0000	4.1431	0.0000	1.0000	4.3311	0.0000	0.0000	2
4.0000	0.0000	3.2027	0.0000	3.5714	2.7567	0.0000	0.0000	2
7.0000	0.0000	4.3935	0.0000	2.2857	5.6326	0.0000	0.0000	2
3.0000	0.0000	3.2108	0.0000	3.5714	3.4433	0.0000	0.0000	2
2.0000	0.0000	5.0235	0.0000	2.2857	5.0840	0.0000	0.0000	2
2.0000	0.0000	3.9919	0.0000	2.2857	5.0819	0.0000	0.0000	2
2.0000	0.0000	6.7542	0.0000	2.2857	4.4961	0.0000	0.0000	2
4.0000	0.0000	2.5785	0.0000	1.0000	2.4701	0.0000	0.0000	2
1.0000	0.0000	4.1327	0.0000	3.5714	17.0516	0.0000	0.0000	2
2.0000	0.0000	1.6600	0.0000	2.2857	2.0460	0.0000	0.0000	2
2.0000	0.0000	4.4431	0.0000	2.2857	5.9957	0.0000	0.0000	2
2.0000	0.0000	4.6173	0.0000	3.5714	3.6584	0.0000	0.0000	2
4.0000	0.0000	2.8969	0.0000	2.2857	3.8015	0.0000	0.0000	2
3.0000	0.0000	5.8831	0.0000	2.2857	3.9555	0.0000	0.0000	2
5.0000	0.0000	3.8477	0.0000	2.2857	3.4000	0.0000	0.0000	2
7.0000	0.0000	3.7531	0.0000	1.0000	3.7105	0.0000	0.0000	2
3.0000	0.0000	3.0504	0.0000	1.0000	2.9088	0.0000	0.0000	2
1.0000	0.0000	3.7888	0.0000	2.2857	4.1650	0.0000	0.0000	2
3.0000	0.0000	2.8369	0.0000	3.5714	3.4942	0.0000	0.0000	2
7.0000	0.0000	2.1631	0.0000	2.2857	2.7600	0.0000	0.0000	2
3.0000	0.0000	6.1796	0.0000	1.0000	6.3555	0.0000	0.0000	2
2.0000	0.0000	4.6819	0.0000	3.5714	4.5854	0.0000	0.0000	2
4.0000	0.0000	2.4642	0.0000	6.1429	2.4426	0.0000	0.0000	2
4.0000	0.0000	4.6738	0.0000	2.2857	5.4078	0.0000	0.0000	2
2.0000	0.0000	5.2231	0.0000	3.5714	5.0682	0.0000	0.0000	2
2.0000	0.0000	3.8085	0.0000	2.2857	3.2257	0.0000	0.0000	2
7.0000	0.0000	3.1288	0.0000	2.2857	2.5004	0.0000	0.0000	2
7.0000	0.0000	3.4912	0.0000	1.0000	4.4249	0.0000	0.0000	2
5.0000	0.0000	3.3135	0.0000	1.0000	2.5631	0.0000	0.0000	2
2.0000	0.0000	7.3358	0.0000	2.2857	5.2279	0.0000	0.0000	2
3.0000	0.0000	4.7258	0.0000	2.2857	4.9441	0.0000	0.0000	2
4.0000	0.0000	6.5673	0.0000	3.5714	4.5507	0.0000	0.0000	2
5.0000	0.0000	1.9808	0.0000	1.0000	1.9121	0.0000	0.0000	1
1.0000	0.0000	5.9269	0.0000	2.2857	4.6376	0.0000	0.0000	1
1.0000	0.0000	2.6165	0.0000	7.4286	2.9294	0.0000	0.0000	1
3.0000	0.0000	3.0435	0.0000	4.8571	3.2023	0.0000	0.0000	1
1.0000	0.0000	6.9262	0.0000	2.2857	5.3844	0.0000	0.0000	1
3.0000	0.0000	7.2435	0.0000	2.2857	5.4976	0.0000	0.0000	1
